Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Texts,References,Correspondence Address,Editors,Publisher,Sponsors,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
Nakamura Q.,Nakamura Q. (59311319956),59311319956,Evaluating machine learning yield prediction performance under semi-arid conditions (case 21),2025,Precision Agriculture,1,,,296,308,5,10.9999/synthetic.2025.1020,https://doi.org/10.9999/synthetic.2025.1020,"Department of Agricultural Engineering, Example University, Example City, Country","Nakamura Q., Department of Agricultural Engineering, Example University","This study investigates machine learning yield prediction in the context of modern agricultural production systems. We propose a methodology combining open-source firmware with simulation to assess feasibility and performance. Results indicate measurable improvements in operational cost compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on machine learning yield prediction and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",feature selection; random forest; deep learning,feature selection; random forest; deep learning,,,,,,,"Martins N., Journal of Applied Sciences, 207, (2008); Henriques K., Int J Agric Eng, 189, (2018); Esteves G., Int J Agric Eng, 47, (2007)","Nakamura Q.; Department of Agricultural Engineering, Example University; email: example20@example.edu",,Springer Nature,,,,,,78581972,,,,English,Precision Agriculture,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100020
Silva K.; Barros D.,Silva K. (57392537542); Barros D. (58447968578),57392537542; 58447968578,Performance evaluation of a drone-based field surveying system (case 22),2018,Computers and Electronics in Agriculture,36,,,28,316,11,10.9999/synthetic.2018.1021,https://doi.org/10.9999/synthetic.2018.1021,"Department of Agricultural Engineering, Example University, Example City, Country","Silva K., Department of Agricultural Engineering, Example University; Barros D., Department of Agricultural Engineering, Example University","This study investigates drone-based field surveying in the context of modern agricultural production systems. We propose a methodology combining low-cost sensors with simulation to assess feasibility and performance. Results indicate measurable improvements in resource use efficiency compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on drone-based field surveying and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",multispectral sensing; NDVI; UAV imagery,multispectral sensing; NDVI; UAV imagery,,,,,,,"Silva K., Comput Electron Agric, 38, (2020); Silva K., Journal of Applied Sciences, 41, (2005); Gomes J., Journal of Applied Sciences, 89, (2005); Oliveira E., Int J Agric Eng, 198, (2013)","Silva K.; Department of Agricultural Engineering, Example University; email: example21@example.edu",,Elsevier Ltd,,,,,,94750931,,,,English,Computers and Electronics in Agriculture,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100021
Duarte D.; Nakamura Q.; Barros S.; Henriques B.,Duarte D. (60243775706); Nakamura Q. (59311319956); Barros S. (58016898259); Henriques B. (59979002917),60243775706; 59311319956; 58016898259; 59979002917,Field deployment of a water quality assessment system (case 23),2021,Computers and Electronics in Agriculture,46,,,187,301,6,10.9999/synthetic.2021.1022,https://doi.org/10.9999/synthetic.2021.1022,"Department of Agricultural Engineering, Example University, Example City, Country","Duarte D., Department of Agricultural Engineering, Example University; Nakamura Q., Department of Agricultural Engineering, Example University; Barros S., Department of Agricultural Engineering, Example University; Henriques B., Department of Agricultural Engineering, Example University","This study investigates water quality assessment in the context of modern agricultural production systems. We propose a methodology combining open-source firmware with field trials to assess feasibility and performance. Results indicate measurable improvements in operational cost compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on water quality assessment and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",eutrophication; water quality index; groundwater monitoring,eutrophication; water quality index; groundwater monitoring,,,,,,,"Barros D., Journal of Applied Sciences, 45, (2018); Queiroz Q., Comput Electron Agric, 356, (2012); Barros S., Int J Agric Eng, 332, (2023); Nakamura N., Int J Agric Eng, 162, (2009); Ibrahim K., Int J Agric Eng, 394, (2007); Teixeira R., Comput Electron Agric, 394, (2009)","Duarte D.; Department of Agricultural Engineering, Example University; email: example22@example.edu",,MDPI,,,,,,25396316,,,,English,Computers and Electronics in Agriculture,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100022
Queiroz E.; Lopes Q.; Duarte D.; Klein P.,Queiroz E. (60153646918); Lopes Q. (56714797475); Duarte D. (60243775706); Klein P. (59298064654),60153646918; 56714797475; 60243775706; 59298064654,Evaluating water quality assessment performance under greenhouse conditions (case 24),2021,Smart Agricultural Technology,8,12,,110,302,11,10.9999/synthetic.2021.1023,https://doi.org/10.9999/synthetic.2021.1023,"Department of Agricultural Engineering, Example University, Example City, Country","Queiroz E., Department of Agricultural Engineering, Example University; Lopes Q., Department of Agricultural Engineering, Example University; Duarte D., Department of Agricultural Engineering, Example University; Klein P., Department of Agricultural Engineering, Example University","This study investigates water quality assessment in the context of modern agricultural production systems. We propose a methodology combining open-source firmware with greenhouse experiments to assess feasibility and performance. Results indicate measurable improvements in yield stability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on water quality assessment and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",water quality index; eutrophication; groundwater monitoring,water quality index; eutrophication; groundwater monitoring,,,,,,,"Henriques K., Journal of Applied Sciences, 207, (2019); Oliveira E., Int J Agric Eng, 228, (2018); Oliveira E., Journal of Applied Sciences, 259, (2007); Martins D., Journal of Applied Sciences, 388, (2023); Nakamura N., Journal of Applied Sciences, 246, (2022); Esteves T., Int J Agric Eng, 327, (2006)","Queiroz E.; Department of Agricultural Engineering, Example University; email: example23@example.edu",,Elsevier Ltd,,,,,,80063603,,,,English,Smart Agricultural Technology,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100023
Lopes Q.; Pereira O.; Esteves P.; Costa G.,Lopes Q. (56714797475); Pereira O. (57628608159); Esteves P. (60578623402); Costa G. (56081586423),56714797475; 57628608159; 60578623402; 56081586423,Evaluating IoT crop monitoring performance under temperate conditions (case 25),2021,Journal of Cleaner Production,47,,,268,315,14,10.9999/synthetic.2021.1024,https://doi.org/10.9999/synthetic.2021.1024,"Department of Agricultural Engineering, Example University, Example City, Country","Lopes Q., Department of Agricultural Engineering, Example University; Pereira O., Department of Agricultural Engineering, Example University; Esteves P., Department of Agricultural Engineering, Example University; Costa G., Department of Agricultural Engineering, Example University","This study investigates IoT crop monitoring in the context of modern agricultural production systems. We propose a methodology combining low-cost sensors with field trials to assess feasibility and performance. Results indicate measurable improvements in resource use efficiency compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on IoT crop monitoring and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",smart agriculture; wireless sensor networks; Internet of Things,smart agriculture; wireless sensor networks; Internet of Things,,,,,,,"Pereira O., Int J Agric Eng, 234, (2017); Pereira H., Comput Electron Agric, 135, (2017); Henriques B., Journal of Applied Sciences, 309, (2008); Silva K., Comput Electron Agric, 23, (2022)","Lopes Q.; Department of Agricultural Engineering, Example University; email: example24@example.edu",,IEEE,,,,,,23625943,,,,English,Journal of Cleaner Production,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100024
Ibrahim K.,Ibrahim K. (59582730523),59582730523,Evaluating IoT crop monitoring performance under tropical conditions (case 26),2025,Journal of Cleaner Production,19,3,,264,310,1,10.9999/synthetic.2025.1025,https://doi.org/10.9999/synthetic.2025.1025,"Department of Agricultural Engineering, Example University, Example City, Country","Ibrahim K., Department of Agricultural Engineering, Example University","This study investigates IoT crop monitoring in the context of modern agricultural production systems. We propose a methodology combining statistical models with field trials to assess feasibility and performance. Results indicate measurable improvements in operational cost compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on IoT crop monitoring and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",LoRaWAN; edge computing; wireless sensor networks,LoRaWAN; edge computing; wireless sensor networks,,,,,,,"Klein P., Comput Electron Agric, 362, (2020); Barros D., Journal of Applied Sciences, 326, (2018); Henriques K., Comput Electron Agric, 31, (2020); Silva K., Journal of Applied Sciences, 112, (2018); Pereira O., Journal of Applied Sciences, 311, (2023); Duarte D., Comput Electron Agric, 234, (2005); Duarte D., Journal of Applied Sciences, 399, (2008)","Ibrahim K.; Department of Agricultural Engineering, Example University; email: example25@example.edu",,MDPI,,,,,,37049434,,,,English,Journal of Cleaner Production,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100025
Pereira M.; Duarte D.,Pereira M. (59724448500); Duarte D. (60243775706),59724448500; 60243775706,Towards sustainable drone-based field surveying: a systematic study (case 27),2021,Sensors,15,,,278,315,8,10.9999/synthetic.2021.1026,https://doi.org/10.9999/synthetic.2021.1026,"Department of Agricultural Engineering, Example University, Example City, Country","Pereira M., Department of Agricultural Engineering, Example University; Duarte D., Department of Agricultural Engineering, Example University","This study investigates drone-based field surveying in the context of modern agricultural production systems. We propose a methodology combining low-cost sensors with simulation to assess feasibility and performance. Results indicate measurable improvements in yield stability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on drone-based field surveying and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",NDVI; photogrammetry; canopy segmentation,NDVI; photogrammetry; canopy segmentation,,,,,,,"Henriques O., Int J Agric Eng, 52, (2012); Gomes F., Journal of Applied Sciences, 192, (2014); Junqueira Q., Journal of Applied Sciences, 366, (2011); Ibrahim K., Int J Agric Eng, 197, (2005)","Pereira M.; Department of Agricultural Engineering, Example University; email: example26@example.edu",,Elsevier Ltd,,,,,,45777738,,,,English,Sensors,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100026
Oliveira S.; Oliveira E.; Esteves T.,Oliveira S. (56511539030); Oliveira E. (59282635293); Esteves T. (57606820609),56511539030; 59282635293; 57606820609,Design and validation of a greenhouse climate control system (case 28),2021,Sensors,10,4,,176,308,7,10.9999/synthetic.2021.1027,https://doi.org/10.9999/synthetic.2021.1027,"Department of Agricultural Engineering, Example University, Example City, Country","Oliveira S., Department of Agricultural Engineering, Example University; Oliveira E., Department of Agricultural Engineering, Example University; Esteves T., Department of Agricultural Engineering, Example University","This study investigates greenhouse climate control in the context of modern agricultural production systems. We propose a methodology combining machine learning classifiers with field trials to assess feasibility and performance. Results indicate measurable improvements in data collection reliability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on greenhouse climate control and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",actuator control; thermal comfort; greenhouse automation,actuator control; thermal comfort; greenhouse automation,,,,,,,"Martins N., Journal of Applied Sciences, 353, (2017); Queiroz Q., Journal of Applied Sciences, 259, (2022); Costa G., Journal of Applied Sciences, 252, (2012); Lopes Q., Journal of Applied Sciences, 328, (2021)","Oliveira S.; Department of Agricultural Engineering, Example University; email: example27@example.edu",,Wiley,,,,,,31114876,,,,English,Sensors,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100027
Barros S.; Junqueira Q.,Barros S. (58016898259); Junqueira Q. (56239340466),58016898259; 56239340466,Evaluating greenhouse climate control performance under greenhouse conditions (case 29),2024,Smart Agricultural Technology,5,9,,84,315,13,10.9999/synthetic.2024.1028,https://doi.org/10.9999/synthetic.2024.1028,"Department of Agricultural Engineering, Example University, Example City, Country","Barros S., Department of Agricultural Engineering, Example University; Junqueira Q., Department of Agricultural Engineering, Example University","This study investigates greenhouse climate control in the context of modern agricultural production systems. We propose a methodology combining open-source firmware with greenhouse experiments to assess feasibility and performance. Results indicate measurable improvements in resource use efficiency compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on greenhouse climate control and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",microclimate modeling; thermal comfort; actuator control,microclimate modeling; thermal comfort; actuator control,,,,,,,"Barros D., Journal of Applied Sciences, 178, (2010); Henriques B., Journal of Applied Sciences, 109, (2015); Oliveira E., Comput Electron Agric, 106, (2010); Queiroz E., Journal of Applied Sciences, 10, (2015)","Barros S.; Department of Agricultural Engineering, Example University; email: example28@example.edu",,Wiley,,,,,,63251710,,,,English,Smart Agricultural Technology,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100028
Nakamura N.; Oliveira S.,Nakamura N. (58464912100); Oliveira S. (56511539030),58464912100; 56511539030,A data-driven approach to greenhouse climate control using cloud computing (case 30),2018,Precision Agriculture,50,5,,224,315,33,10.9999/synthetic.2018.1029,https://doi.org/10.9999/synthetic.2018.1029,"Department of Agricultural Engineering, Example University, Example City, Country","Nakamura N., Department of Agricultural Engineering, Example University; Oliveira S., Department of Agricultural Engineering, Example University","This study investigates greenhouse climate control in the context of modern agricultural production systems. We propose a methodology combining statistical models with historical datasets to assess feasibility and performance. Results indicate measurable improvements in data collection reliability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on greenhouse climate control and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",thermal comfort; actuator control; greenhouse automation,thermal comfort; actuator control; greenhouse automation,,,,,,,"Martins D., Comput Electron Agric, 175, (2019); Gomes F., Int J Agric Eng, 265, (2012); Queiroz Q., Int J Agric Eng, 144, (2017); Gomes J., Comput Electron Agric, 73, (2013); Martins D., Comput Electron Agric, 109, (2011); Costa G., Journal of Applied Sciences, 323, (2014); Queiroz E., Journal of Applied Sciences, 192, (2007)","Nakamura N.; Department of Agricultural Engineering, Example University; email: example29@example.edu",,Springer Nature,,,,,,10603867,,,,English,Precision Agriculture,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100029
Esteves T.; Queiroz Q.; Oliveira E.; Gomes J.,Esteves T. (57606820609); Queiroz Q. (56700597543); Oliveira E. (59282635293); Gomes J. (57461347176),57606820609; 56700597543; 59282635293; 57461347176,A low-cost approach to drone-based field surveying using open-source hardware (case 31),2023,Precision Agriculture,48,5,,201,317,30,10.9999/synthetic.2023.1030,https://doi.org/10.9999/synthetic.2023.1030,"Department of Agricultural Engineering, Example University, Example City, Country","Esteves T., Department of Agricultural Engineering, Example University; Queiroz Q., Department of Agricultural Engineering, Example University; Oliveira E., Department of Agricultural Engineering, Example University; Gomes J., Department of Agricultural Engineering, Example University","This study investigates drone-based field surveying in the context of modern agricultural production systems. We propose a methodology combining open-source firmware with field trials to assess feasibility and performance. Results indicate measurable improvements in resource use efficiency compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on drone-based field surveying and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",canopy segmentation; UAV imagery; NDVI,canopy segmentation; UAV imagery; NDVI,,,,,,,"Martins N., Int J Agric Eng, 355, (2010); Pereira O., Comput Electron Agric, 121, (2022); Henriques B., Int J Agric Eng, 191, (2009); Queiroz E., Journal of Applied Sciences, 362, (2012)","Esteves T.; Department of Agricultural Engineering, Example University; email: example30@example.edu",,MDPI,,,,,,28597933,,,,English,Precision Agriculture,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100030
Ibrahim K.; Barros D.; Barros S.; Klein P.,Ibrahim K. (59582730523); Barros D. (58447968578); Barros S. (58016898259); Klein P. (59298064654),59582730523; 58447968578; 58016898259; 59298064654,A data-driven approach to IoT crop monitoring using embedded systems (case 32),2025,Smart Agricultural Technology,8,,,64,311,18,10.9999/synthetic.2025.1031,https://doi.org/10.9999/synthetic.2025.1031,"Department of Agricultural Engineering, Example University, Example City, Country","Ibrahim K., Department of Agricultural Engineering, Example University; Barros D., Department of Agricultural Engineering, Example University; Barros S., Department of Agricultural Engineering, Example University; Klein P., Department of Agricultural Engineering, Example University","This study investigates IoT crop monitoring in the context of modern agricultural production systems. We propose a methodology combining open-source firmware with simulation to assess feasibility and performance. Results indicate measurable improvements in resource use efficiency compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on IoT crop monitoring and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",edge computing; LoRaWAN; Internet of Things,edge computing; LoRaWAN; Internet of Things,,,,,,,"Klein P., Int J Agric Eng, 299, (2017); Nakamura N., Comput Electron Agric, 233, (2014); Ibrahim K., Comput Electron Agric, 283, (2007); Martins D., Journal of Applied Sciences, 84, (2011); Nakamura Q., Int J Agric Eng, 167, (2010); Martins D., Journal of Applied Sciences, 315, (2007); Gomes F., Int J Agric Eng, 391, (2011); Esteves G., Int J Agric Eng, 107, (2012)","Ibrahim K.; Department of Agricultural Engineering, Example University; email: example31@example.edu",,Wiley,,,,,,41248816,,,,English,Smart Agricultural Technology,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100031
Henriques K.; Costa G.; Nakamura Q.,Henriques K. (59581770218); Costa G. (56081586423); Nakamura Q. (59311319956),59581770218; 56081586423; 59311319956,Evaluating precision irrigation performance under semi-arid conditions (case 33),2019,Smart Agricultural Technology,41,,,187,313,70,10.9999/synthetic.2019.1032,https://doi.org/10.9999/synthetic.2019.1032,"Department of Agricultural Engineering, Example University, Example City, Country","Henriques K., Department of Agricultural Engineering, Example University; Costa G., Department of Agricultural Engineering, Example University; Nakamura Q., Department of Agricultural Engineering, Example University","This study investigates precision irrigation in the context of modern agricultural production systems. We propose a methodology combining statistical models with field trials to assess feasibility and performance. Results indicate measurable improvements in yield stability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on precision irrigation and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",soil moisture sensors; irrigation scheduling; deficit irrigation,soil moisture sensors; irrigation scheduling; deficit irrigation,,,,,,,"Oliveira E., Int J Agric Eng, 4, (2023); Gomes F., Int J Agric Eng, 396, (2019); Nakamura N., Comput Electron Agric, 131, (2015); Klein P., Journal of Applied Sciences, 133, (2011); Klein P., Int J Agric Eng, 307, (2016); Esteves T., Int J Agric Eng, 180, (2023); Henriques K., Journal of Applied Sciences, 350, (2006); Martins D., Journal of Applied Sciences, 126, (2006)","Henriques K.; Department of Agricultural Engineering, Example University; email: example32@example.edu",,MDPI,,,,,,45519363,,,,English,Smart Agricultural Technology,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100032
Costa G.,Costa G. (56081586423),56081586423,Towards sustainable greenhouse climate control: a systematic study (case 34),2020,Sensors,28,,,46,310,18,10.9999/synthetic.2020.1033,https://doi.org/10.9999/synthetic.2020.1033,"Department of Agricultural Engineering, Example University, Example City, Country","Costa G., Department of Agricultural Engineering, Example University","This study investigates greenhouse climate control in the context of modern agricultural production systems. We propose a methodology combining machine learning classifiers with greenhouse experiments to assess feasibility and performance. Results indicate measurable improvements in resource use efficiency compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on greenhouse climate control and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",microclimate modeling; energy efficiency; greenhouse automation,microclimate modeling; energy efficiency; greenhouse automation,,,,,,,"Queiroz E., Journal of Applied Sciences, 33, (2017); Ibrahim K., Journal of Applied Sciences, 241, (2007); Costa G., Int J Agric Eng, 51, (2022); Esteves T., Comput Electron Agric, 290, (2011); Gomes J., Journal of Applied Sciences, 124, (2023); Barros D., Journal of Applied Sciences, 232, (2005); Costa G., Journal of Applied Sciences, 320, (2015)","Costa G.; Department of Agricultural Engineering, Example University; email: example33@example.edu",,Wiley,,,,,,19827477,,,,English,Sensors,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100033
Duarte D.; Gomes F.; Costa G.,Duarte D. (60243775706); Gomes F. (59994691462); Costa G. (56081586423),60243775706; 59994691462; 56081586423,Cost-benefit analysis of a precision irrigation system (case 35),2025,Environmental Monitoring and Assessment,18,2,,53,319,77,10.9999/synthetic.2025.1034,https://doi.org/10.9999/synthetic.2025.1034,"Department of Agricultural Engineering, Example University, Example City, Country","Duarte D., Department of Agricultural Engineering, Example University; Gomes F., Department of Agricultural Engineering, Example University; Costa G., Department of Agricultural Engineering, Example University","This study investigates precision irrigation in the context of modern agricultural production systems. We propose a methodology combining statistical models with greenhouse experiments to assess feasibility and performance. Results indicate measurable improvements in operational cost compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on precision irrigation and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",tensiometry; deficit irrigation; water use efficiency,tensiometry; deficit irrigation; water use efficiency,,,,,,,"Oliveira E., Comput Electron Agric, 217, (2013); Teixeira R., Comput Electron Agric, 358, (2020); Henriques O., Journal of Applied Sciences, 400, (2024); Pereira O., Journal of Applied Sciences, 160, (2005); Henriques K., Journal of Applied Sciences, 72, (2008); Junqueira O., Comput Electron Agric, 325, (2010); Esteves T., Comput Electron Agric, 249, (2008)","Duarte D.; Department of Agricultural Engineering, Example University; email: example34@example.edu",,IEEE,,,,,,73888410,,,,English,Environmental Monitoring and Assessment,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100034
Martins D.; Duarte D.,Martins D. (58897906438); Duarte D. (60243775706),58897906438; 60243775706,Field deployment of a greenhouse climate control system (case 36),2020,Agricultural Water Management,12,10,,203,318,20,10.9999/synthetic.2020.1035,https://doi.org/10.9999/synthetic.2020.1035,"Department of Agricultural Engineering, Example University, Example City, Country","Martins D., Department of Agricultural Engineering, Example University; Duarte D., Department of Agricultural Engineering, Example University","This study investigates greenhouse climate control in the context of modern agricultural production systems. We propose a methodology combining statistical models with historical datasets to assess feasibility and performance. Results indicate measurable improvements in yield stability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on greenhouse climate control and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",actuator control; microclimate modeling; thermal comfort,actuator control; microclimate modeling; thermal comfort,,,,,,,"Klein P., Journal of Applied Sciences, 177, (2023); Teixeira R., Int J Agric Eng, 86, (2009); Junqueira Q., Journal of Applied Sciences, 110, (2015)","Martins D.; Department of Agricultural Engineering, Example University; email: example35@example.edu",,Elsevier Ltd,,,,,,80220478,,,,English,Agricultural Water Management,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100035
Costa G.; Gomes F.; Pereira O.,Costa G. (56081586423); Gomes F. (59994691462); Pereira O. (57628608159),56081586423; 59994691462; 57628608159,A novel approach to precision irrigation using sensor fusion (case 37),2021,Sensors,19,4,,254,303,15,10.9999/synthetic.2021.1036,https://doi.org/10.9999/synthetic.2021.1036,"Department of Agricultural Engineering, Example University, Example City, Country","Costa G., Department of Agricultural Engineering, Example University; Gomes F., Department of Agricultural Engineering, Example University; Pereira O., Department of Agricultural Engineering, Example University","This study investigates precision irrigation in the context of modern agricultural production systems. We propose a methodology combining statistical models with historical datasets to assess feasibility and performance. Results indicate measurable improvements in resource use efficiency compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on precision irrigation and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",irrigation scheduling; deficit irrigation; soil moisture sensors,irrigation scheduling; deficit irrigation; soil moisture sensors,,,,,,,"Henriques B., Comput Electron Agric, 365, (2015); Pereira H., Int J Agric Eng, 245, (2015); Pereira H., Int J Agric Eng, 17, (2024)","Costa G.; Department of Agricultural Engineering, Example University; email: example36@example.edu",,IEEE,,,,,,90839570,,,,English,Sensors,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100036
Nakamura N.; Silva K.; Oliveira E.,Nakamura N. (58464912100); Silva K. (57392537542); Oliveira E. (59282635293),58464912100; 57392537542; 59282635293,Evaluating greenhouse climate control performance under open-field conditions (case 38),2024,Agricultural Water Management,12,2,,96,309,10,10.9999/synthetic.2024.1037,https://doi.org/10.9999/synthetic.2024.1037,"Department of Agricultural Engineering, Example University, Example City, Country","Nakamura N., Department of Agricultural Engineering, Example University; Silva K., Department of Agricultural Engineering, Example University; Oliveira E., Department of Agricultural Engineering, Example University","This study investigates greenhouse climate control in the context of modern agricultural production systems. We propose a methodology combining low-cost sensors with historical datasets to assess feasibility and performance. Results indicate measurable improvements in yield stability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on greenhouse climate control and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",microclimate modeling; thermal comfort; greenhouse automation,microclimate modeling; thermal comfort; greenhouse automation,,,,,,,"Esteves P., Int J Agric Eng, 281, (2022); Nakamura Q., Int J Agric Eng, 355, (2021); Esteves T., Int J Agric Eng, 51, (2013); Pereira H., Comput Electron Agric, 208, (2019); Nakamura N., Comput Electron Agric, 319, (2010); Esteves T., Int J Agric Eng, 361, (2007)","Nakamura N.; Department of Agricultural Engineering, Example University; email: example37@example.edu",,Wiley,,,,,,44866246,,,,English,Agricultural Water Management,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100037
Oliveira S.; Henriques O.,Oliveira S. (56511539030); Henriques O. (60494014838),56511539030; 60494014838,Towards sustainable IoT crop monitoring: a comparative study (case 39),2025,Environmental Monitoring and Assessment,3,,,98,304,10,10.9999/synthetic.2025.1038,https://doi.org/10.9999/synthetic.2025.1038,"Department of Agricultural Engineering, Example University, Example City, Country","Oliveira S., Department of Agricultural Engineering, Example University; Henriques O., Department of Agricultural Engineering, Example University","This study investigates IoT crop monitoring in the context of modern agricultural production systems. We propose a methodology combining machine learning classifiers with simulation to assess feasibility and performance. Results indicate measurable improvements in resource use efficiency compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on IoT crop monitoring and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",smart agriculture; edge computing; wireless sensor networks,smart agriculture; edge computing; wireless sensor networks,,,,,,,"Queiroz Q., Comput Electron Agric, 397, (2015); Martins N., Int J Agric Eng, 157, (2005); Barros S., Int J Agric Eng, 118, (2019); Silva K., Comput Electron Agric, 17, (2016); Klein P., Int J Agric Eng, 327, (2007); Junqueira Q., Journal of Applied Sciences, 66, (2020); Pereira M., Journal of Applied Sciences, 192, (2010); Teixeira R., Comput Electron Agric, 5, (2024)","Oliveira S.; Department of Agricultural Engineering, Example University; email: example38@example.edu",,MDPI,,,,,,83906986,,,,English,Environmental Monitoring and Assessment,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100038
Barros S.,Barros S. (58016898259),58016898259,A data-driven approach to IoT crop monitoring using embedded systems (case 40),2018,Agricultural Water Management,53,2,,129,319,9,10.9999/synthetic.2018.1039,https://doi.org/10.9999/synthetic.2018.1039,"Department of Agricultural Engineering, Example University, Example City, Country","Barros S., Department of Agricultural Engineering, Example University","This study investigates IoT crop monitoring in the context of modern agricultural production systems. We propose a methodology combining machine learning classifiers with simulation to assess feasibility and performance. Results indicate measurable improvements in resource use efficiency compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on IoT crop monitoring and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",smart agriculture; LoRaWAN; Internet of Things,smart agriculture; LoRaWAN; Internet of Things,,,,,,,"Gomes J., Comput Electron Agric, 285, (2016); Martins N., Journal of Applied Sciences, 393, (2014); Teixeira R., Int J Agric Eng, 304, (2008); Henriques O., Comput Electron Agric, 95, (2006); Nakamura N., Comput Electron Agric, 233, (2024); Oliveira E., Int J Agric Eng, 7, (2014); Oliveira S., Journal of Applied Sciences, 46, (2011)","Barros S.; Department of Agricultural Engineering, Example University; email: example39@example.edu",,Elsevier Ltd,,,,,,58007381,,,,English,Agricultural Water Management,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100039
